year,ifs,gdp_growth
1945,USA,
1946,USA,
1947,USA,
1948,USA,
1949,USA,
1950,USA,
1951,USA,
1952,USA,
1953,USA,
1954,USA,
1955,USA,
1956,USA,
1957,USA,
1958,USA,
1959,USA,
1960,USA,
1961,USA,2.3
1962,USA,6.1
1963,USA,4.4
1964,USA,5.8
1965,USA,6.4
1966,USA,6.5
1967,USA,2.5
1968,USA,4.8
1969,USA,3.1
1970,USA,3.206807257
1971,USA,3.295476728
1972,USA,5.263262776
1973,USA,5.643124848
1974,USA,-0.51715456
1975,USA,-0.19767853
1976,USA,5.386090051
1977,USA,4.608597407
1978,USA,5.561684929
1979,USA,3.17569075
1980,USA,-0.24459622
1981,USA,2.594470388
1982,USA,-1.91089106
1983,USA,4.632457181
1984,USA,7.259086959
1985,USA,4.238737521
1986,USA,3.511614499
1987,USA,3.461747692
1988,USA,4.203971979
1989,USA,3.680524033
1990,USA,1.919370297
1991,USA,-0.07408453
1992,USA,3.555396148
1993,USA,2.745856719
1994,USA,4.037643425
1995,USA,2.718975789
1996,USA,3.795881229
1997,USA,4.487026493
1998,USA,4.449910963
1999,USA,4.685
2000,USA,4.092176449
2001,USA,0.975981834
2002,USA,1.786127687
2003,USA,2.806775956
2004,USA,3.78574285
2005,USA,3.345216063
2006,USA,2.666625826
2007,USA,1.77857024
2008,USA,-0.29162145
2009,USA,-2.77552957
2010,USA,2.531920616
2011,USA,1.601454672
2012,USA,2.224030854
2013,USA,1.67733153
2014,USA,2.370457671
2015,USA,2.596148041
2016,USA,1.485
2017,USA,2.273
1945,RUS,
1946,RUS,
1947,RUS,
1948,RUS,
1949,RUS,
1950,RUS,
1951,RUS,
1952,RUS,
1953,RUS,
1954,RUS,
1955,RUS,
1956,RUS,
1957,RUS,
1958,RUS,
1959,RUS,
1960,RUS,
1961,RUS,
1962,RUS,
1963,RUS,
1964,RUS,
1965,RUS,
1966,RUS,
1967,RUS,
1968,RUS,
1969,RUS,
1970,RUS,
1971,RUS,
1972,RUS,
1973,RUS,
1974,RUS,
1975,RUS,
1976,RUS,
1977,RUS,
1978,RUS,
1979,RUS,
1980,RUS,
1981,RUS,
1982,RUS,
1983,RUS,
1984,RUS,
1985,RUS,
1986,RUS,
1987,RUS,
1988,RUS,
1989,RUS,
1990,RUS,-2.99999564
1991,RUS,-5.04693945
1992,RUS,-14.5310737
1993,RUS,-8.66854034
1994,RUS,-12.5697559
1995,RUS,-4.1435284
1996,RUS,-3.6
1997,RUS,1.399999999
1998,RUS,-5.29999999
1999,RUS,6.4
2000,RUS,9.999999999
2001,RUS,5.091984231
2002,RUS,4.743669897
2003,RUS,7.295854331
2004,RUS,7.175949192
2005,RUS,6.376187027
2006,RUS,8.153431973
2007,RUS,8.535080209
2008,RUS,5.247953532
2009,RUS,-7.82088502
2010,RUS,4.503725626
2011,RUS,4.264176565
2012,RUS,3.517941865
2013,RUS,1.279453911
2014,RUS,0.731458212
2015,RUS,-2.82824081
2016,RUS,-0.225
2017,RUS,1.546
1945,GHA,
1946,GHA,
1947,GHA,
1948,GHA,
1949,GHA,
1950,GHA,
1951,GHA,
1952,GHA,
1953,GHA,
1954,GHA,
1955,GHA,
1956,GHA,
1957,GHA,
1958,GHA,
1959,GHA,
1960,GHA,
1961,GHA,3.429674012
1962,GHA,4.109158606
1963,GHA,4.405974201
1964,GHA,2.209327505
1965,GHA,1.36899887
1966,GHA,-4.25829037
1967,GHA,3.075364052
1968,GHA,0.368860329
1969,GHA,6.006174964
1970,GHA,9.723472587
1971,GHA,5.216124557
1972,GHA,-2.4876554
1973,GHA,2.884584195
1974,GHA,6.852516832
1975,GHA,-12.431629
1976,GHA,-3.5301828
1977,GHA,2.274107244
1978,GHA,8.475935599
1979,GHA,-2.51494141
1980,GHA,0.471695943
1981,GHA,-3.50306694
1982,GHA,-6.92365041
1983,GHA,-4.5637375
1984,GHA,8.647569458
1985,GHA,5.091617273
1986,GHA,5.199160679
1987,GHA,4.794898878
1988,GHA,5.628168765
1989,GHA,5.0858727
1990,GHA,3.328817883
1991,GHA,5.28182629
1992,GHA,3.879419253
1993,GHA,4.850000564
1994,GHA,3.299999591
1995,GHA,4.11241904
1996,GHA,4.602461045
1997,GHA,4.196357576
1998,GHA,4.700390779
1999,GHA,4.4
2000,GHA,3.700000115
2001,GHA,4
2002,GHA,4.499999699
2003,GHA,5.199999984
2004,GHA,5.59999999
2005,GHA,5.900003953
2006,GHA,6.399912419
2007,GHA,4.346819153
2008,GHA,9.149799094
2009,GHA,4.845756132
2010,GHA,7.899740293
2011,GHA,14.04600263
2012,GHA,9.292511869
2013,GHA,7.312525021
2014,GHA,3.985865624
2015,GHA,3.917221644
2016,GHA,3.722
2017,GHA,8.507
1945,ZAF,
1946,ZAF,
1947,ZAF,
1948,ZAF,
1949,ZAF,
1950,ZAF,
1951,ZAF,
1952,ZAF,
1953,ZAF,
1954,ZAF,
1955,ZAF,
1956,ZAF,
1957,ZAF,
1958,ZAF,
1959,ZAF,
1960,ZAF,
1961,ZAF,3.845403562
1962,ZAF,6.17727082
1963,ZAF,7.373563946
1964,ZAF,7.939841291
1965,ZAF,8.896030616
1966,ZAF,4.438444965
1967,ZAF,7.196497102
1968,ZAF,4.153364467
1969,ZAF,4.715974906
1970,ZAF,5.248543469
1971,ZAF,4.279001629
1972,ZAF,1.654787597
1973,ZAF,4.572025701
1974,ZAF,6.111070816
1975,ZAF,1.695372222
1976,ZAF,2.24998662
1977,ZAF,-0.0940957
1978,ZAF,3.014507792
1979,ZAF,3.790545406
1980,ZAF,6.620589837
1981,ZAF,5.360740563
1982,ZAF,-0.38335397
1983,ZAF,-1.84654896
1984,ZAF,5.099075493
1985,ZAF,-1.21144037
1986,ZAF,0.017786895
1987,ZAF,2.100777788
1988,ZAF,4.200042663
1989,ZAF,2.394859815
1990,ZAF,-0.3177832
1991,ZAF,-1.01830801
1992,ZAF,-2.13704171
1993,ZAF,1.233613398
1994,ZAF,3.199999999
1995,ZAF,3.100000005
1996,ZAF,4.299999997
1997,ZAF,2.600000002
1998,ZAF,0.499999997
1999,ZAF,
2000,ZAF,4.199999997
2001,ZAF,2.700000003
2002,ZAF,3.700374403
2003,ZAF,2.949075466
2004,ZAF,4.554559908
2005,ZAF,5.277051971
2006,ZAF,5.585045962
2007,ZAF,5.360474053
2008,ZAF,3.191043888
2009,ZAF,-1.53808913
2010,ZAF,3.039734625
2011,ZAF,3.284197135
2012,ZAF,2.213258978
2013,ZAF,2.330342259
2014,ZAF,1.628871543
2015,ZAF,1.264651378
2016,ZAF,0.565
2017,ZAF,1.32
1945,CHN,
1946,CHN,
1947,CHN,
1948,CHN,
1949,CHN,
1950,CHN,
1951,CHN,
1952,CHN,
1953,CHN,
1954,CHN,
1955,CHN,
1956,CHN,
1957,CHN,
1958,CHN,
1959,CHN,
1960,CHN,
1961,CHN,-27.27
1962,CHN,-5.58
1963,CHN,10.3
1964,CHN,18.18
1965,CHN,16.95
1966,CHN,10.65
1967,CHN,-5.77
1968,CHN,-4.1
1969,CHN,16.94
1970,CHN,19.3
1971,CHN,7.06
1972,CHN,3.81
1973,CHN,7.76
1974,CHN,2.31
1975,CHN,8.72
1976,CHN,-1.57
1977,CHN,7.57
1978,CHN,11.666644
1979,CHN,7.6
1980,CHN,7.80669145
1981,CHN,5.172413793
1982,CHN,8.93442623
1983,CHN,10.83521445
1984,CHN,15.13917176
1985,CHN,13.44339623
1986,CHN,8.93970894
1987,CHN,11.6889313
1988,CHN,11.23451516
1989,CHN,4.185867896
1990,CHN,3.907113896
1991,CHN,9.294075913
1992,CHN,14.21616358
1993,CHN,13.86757602
1994,CHN,13.05215872
1995,CHN,10.94922737
1996,CHN,9.928372463
1997,CHN,9.230769231
1998,CHN,7.837613919
1999,CHN,7.667
2000,CHN,8.491508492
2001,CHN,8.33991055
2002,CHN,9.130645945
2003,CHN,10.03560303
2004,CHN,10.11122346
2005,CHN,11.39577594
2006,CHN,12.71947902
2007,CHN,14.23138804
2008,CHN,9.654289373
2009,CHN,9.399813171
2010,CHN,10.63614046
2011,CHN,9.536443008
2012,CHN,7.85626211
2013,CHN,7.757635146
2014,CHN,7.297665959
2015,CHN,6.918336423
2016,CHN,6.9
2017,CHN,6.7
1945,PHL,
1946,PHL,
1947,PHL,
1948,PHL,
1949,PHL,
1950,PHL,
1951,PHL,
1952,PHL,
1953,PHL,
1954,PHL,
1955,PHL,
1956,PHL,
1957,PHL,
1958,PHL,
1959,PHL,
1960,PHL,
1961,PHL,5.616579319
1962,PHL,4.773121848
1963,PHL,7.060487423
1964,PHL,3.446982145
1965,PHL,5.265810464
1966,PHL,4.425994174
1967,PHL,5.324150188
1968,PHL,4.94541808
1969,PHL,4.656358578
1970,PHL,3.764604859
1971,PHL,5.428631369
1972,PHL,5.446791104
1973,PHL,8.920646822
1974,PHL,3.55811508
1975,PHL,5.564773624
1976,PHL,8.806630567
1977,PHL,5.602055577
1978,PHL,5.172103287
1979,PHL,5.639675746
1980,PHL,5.148911294
1981,PHL,3.423269177
1982,PHL,3.619327606
1983,PHL,1.874616468
1984,PHL,-7.32368258
1985,PHL,-7.30660883
1986,PHL,3.416782806
1987,PHL,4.31163482
1988,PHL,6.752544481
1989,PHL,6.205311117
1990,PHL,3.036966294
1991,PHL,-0.57833465
1992,PHL,0.33760303
1993,PHL,2.116307179
1994,PHL,4.387623341
1995,PHL,4.678692219
1996,PHL,5.845873472
1997,PHL,5.185362276
1998,PHL,-0.57672219
1999,PHL,3.082
2000,PHL,4.411212506
2001,PHL,2.893992411
2002,PHL,3.645898141
2003,PHL,4.970363731
2004,PHL,6.697636425
2005,PHL,4.777663462
2006,PHL,5.242953041
2007,PHL,6.616668505
2008,PHL,4.152757145
2009,PHL,1.148330408
2010,PHL,7.632263916
2011,PHL,3.659755139
2012,PHL,6.683810237
2013,PHL,7.064032939
2014,PHL,6.218425752
2015,PHL,5.905014562
2016,PHL,6.876
2017,PHL,6.685